po_number,po_date,pr_number,supplier_id,supplier_name,material_code,material_name,quantity,unit,unit_price_idr,subtotal_idr,tax_percent,tax_amount_idr,total_amount_idr,delivery_date,delivery_location,payment_terms,status,created_by,approved_by,approval_date,received_date,received_quantity,notes
PO-2024-090,2023-08-05,PR-2024-302,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,63830,63830000,11,7021300,70851300,2023-08-11,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-06,2023-08-11,1000,Quality check required retest
PO-2024-091,2023-08-06,PR-2024-303,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,30000,Unit,5144,154320000,11,16975200,171295200,2023-08-26,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-07,2023-08-26,30000,Delivered on schedule
PO-2024-092,2023-08-07,PR-2024-304,SUP-007,PT Multi Packaging Indonesia,PKG-008,Leaflet (Patient Information),15000,Unit,115,1725000,11,189750,1914750,2023-08-26,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-08,2023-08-26,15000,Quality check passed
PO-2024-093,2023-08-07,PR-2024-306,SUP-009,PT Prima Pack Indonesia,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,938,18760000,11,2063600,20823600,2023-08-13,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-08,2023-08-13,20000,Delivery 2 days late
PO-2024-094,2023-08-07,PR-2024-307,SUP-004,PT Kalbe Farma,RAW-004,Ibuprofen,8000,KG,211042,1688336000,11,185716960,1874052960,2023-08-28,Warehouse B - Bandung,Net 30,Completed,Budi Procurement,Sari Director,2023-08-08,2023-08-28,8000,Delivered on schedule
PO-2024-095,2023-08-08,PR-2024-311,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,2000,KG,60786,121572000,11,13372920,134944920,2023-08-18,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-09,2023-08-18,2000,Delivery 2 days late
PO-2024-096,2023-08-08,PR-2024-312,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,8000,KG,880855,7046840000,11,775152400,7821992400,2023-08-14,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Sari Director,2023-08-09,2023-08-14,8000,Delivery 2 days late
PO-2024-097,2023-08-08,PR-2024-315,SUP-005,PT Phapros,RAW-001,Amoxicillin Trihydrate,8000,KG,156043,1248344000,11,137317840,1385661840,2023-08-31,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Sari Director,2023-08-09,2023-08-31,8000,Early delivery - good quality
PO-2024-098,2023-08-09,PR-2024-316,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),3000,KG,24194,72582000,11,7984020,80566020,2023-08-16,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Rudi Manager,2023-08-10,2023-08-16,2895,Delivery 2 days late
PO-2024-099,2023-08-09,PR-2024-318,SUP-010,PT Pharma Excipient Supply,EXC-001,Povidone K30,2000,KG,61750,123500000,11,13585000,137085000,2023-08-18,Warehouse B - Bandung,Net 60,Completed,Budi Procurement,Rudi Manager,2023-08-10,2023-08-18,2000,Delivery 2 days late
PO-2024-100,2023-08-10,PR-2024-321,SUP-012,PT Brataco,EXC-001,Starch (Pregelatinized),3000,KG,18053,54159000,11,5957490,60116490,2023-08-18,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-11,2023-08-18,3000,Slight delay but acceptable quality
PO-2024-101,2023-08-11,PR-2024-325,SUP-008,PT Global Pack Industries,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,926,9260000,11,1018600,10278600,2023-08-22,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-12,2023-08-22,10000,Quality check required retest
PO-2024-102,2023-08-11,PR-2024-327,SUP-008,PT Global Pack Industries,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,940,9400000,11,1034000,10434000,2023-08-19,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-12,2023-08-19,10000,Slight delay but acceptable quality
PO-2024-103,2023-08-12,PR-2024-331,SUP-010,PT Pharma Excipient Supply,EXC-001,Magnesium Stearate,5000,KG,36581,182905000,11,20119550,203024550,2023-08-21,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Rudi Manager,2023-08-13,2023-08-21,5000,Slight delay but acceptable quality
PO-2024-104,2023-08-12,PR-2024-333,SUP-009,PT Prima Pack Indonesia,PKG-001,PVC/PVDC Blister Pack 10x10,30000,Unit,513,15390000,11,1692900,17082900,2023-08-17,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-13,2023-08-17,30000,Slight delay but acceptable quality
PO-2024-105,2023-08-12,PR-2024-335,SUP-005,PT Phapros,RAW-010,Dexamethasone,5000,KG,350255,1751275000,11,192640250,1943915250,2023-09-05,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Sari Director,2023-08-13,2023-09-05,5000,Perfect delivery with documentation
PO-2024-106,2023-08-13,PR-2024-336,SUP-006,PT Indo Packaging Solutions,PKG-001,PVC/PVDC Blister Pack 10x10,15000,Unit,509,7635000,11,839850,8474850,2023-08-23,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Rudi Manager,2023-08-14,2023-08-23,15000,COA received
PO-2024-107,2023-08-14,PR-2024-339,SUP-010,PT Pharma Excipient Supply,EXC-001,Lactose Monohydrate,5000,KG,21340,106700000,11,11737000,118437000,2023-08-20,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Rudi Manager,2023-08-15,2023-08-20,5000,Delivery 2 days late
PO-2024-108,2023-08-14,PR-2024-342,SUP-011,PT Chemical Works Indonesia,EXC-001,Colloidal Silicon Dioxide,1000,KG,197633,197633000,11,21739630,219372630,2023-08-21,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-15,2023-08-21,1000,Quality check required retest
PO-2024-109,2023-08-14,PR-2024-345,SUP-003,PT Dexa Medica,RAW-003,Ascorbic Acid (Vitamin C),2000,KG,44381,88762000,11,9763820,98525820,2023-08-24,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-15,2023-08-24,1921,Quality check required retest
PO-2024-110,2023-08-15,PR-2024-348,SUP-009,PT Prima Pack Indonesia,PKG-007,Desiccant Silica Gel 1g,25000,Unit,201,5025000,11,552750,5577750,2023-08-25,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-16,2023-08-25,25000,Slight delay but acceptable quality
PO-2024-111,2023-08-15,PR-2024-352,SUP-007,PT Multi Packaging Indonesia,PKG-007,Desiccant Silica Gel 1g,30000,Unit,193,5790000,11,636900,6426900,2023-09-01,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-16,2023-09-01,30000,Delivered on schedule
PO-2024-112,2023-08-16,PR-2024-355,SUP-005,PT Phapros,RAW-005,Cetirizine HCl,5000,KG,2981873,14909365000,11,1640030150,16549395150,2023-09-08,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Sari Director,2023-08-17,2023-09-08,5000,On-time delivery with COA
PO-2024-113,2023-08-17,PR-2024-357,SUP-005,PT Phapros,RAW-006,Metformin HCl,8000,KG,76140,609120000,11,67003200,676123200,2023-09-06,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Sari Director,2023-08-18,2023-09-06,8000,Early delivery - good quality
PO-2024-114,2023-08-18,PR-2024-361,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,2000,KG,14562,29124000,11,3203640,32327640,2023-08-25,Warehouse B - Bandung,Net 60,Completed,Budi Procurement,Rudi Manager,2023-08-19,2023-08-25,2000,Delivery 2 days late
PO-2024-115,2023-08-19,PR-2024-362,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,5000,KG,133172,665860000,11,73244600,739104600,2023-08-26,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Sari Director,2023-08-20,2023-08-26,5000,Quality check required retest
PO-2024-116,2023-08-20,PR-2024-363,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),20000,Unit,113,2260000,11,248600,2508600,2023-08-30,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-21,2023-08-30,20000,Delivery 2 days late
PO-2024-117,2023-08-21,PR-2024-367,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,30000,Unit,866,25980000,11,2857800,28837800,2023-08-27,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-08-22,2023-08-27,30000,Delivered on schedule
PO-2024-118,2023-08-21,PR-2024-368,SUP-012,PT Brataco,EXC-001,Croscarmellose Sodium,5000,KG,132837,664185000,11,73060350,737245350,2023-08-26,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Sari Director,2023-08-22,2023-08-26,5000,Delivery 2 days late
PO-2024-119,2023-08-22,PR-2024-369,SUP-008,PT Global Pack Industries,PKG-007,Desiccant Silica Gel 1g,15000,Unit,196,2940000,11,323400,3263400,2023-09-03,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-23,2023-09-03,15000,Slight delay but acceptable quality
PO-2024-120,2023-08-22,PR-2024-370,SUP-001,PT Kimia Farma Trading & Distribution,RAW-010,Dexamethasone,8000,KG,367405,2939240000,11,323316400,3262556400,2023-08-30,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Sari Director,2023-08-23,2023-08-30,8000,Delivery 2 days late
PO-2024-121,2023-08-22,PR-2024-372,SUP-005,PT Phapros,RAW-007,Omeprazole,2000,KG,2078802,4157604000,11,457336440,4614940440,2023-09-12,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-08-23,2023-09-12,2000,On-time delivery with COA
PO-2024-122,2023-08-22,PR-2024-374,SUP-004,PT Kalbe Farma,RAW-005,Cetirizine HCl,3000,KG,2889941,8669823000,11,953680530,9623503530,2023-09-11,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Sari Director,2023-08-23,2023-09-11,3000,Quality check passed
PO-2024-123,2023-08-23,PR-2024-375,SUP-003,PT Dexa Medica,RAW-005,Cetirizine HCl,2000,KG,3078183,6156366000,11,677200260,6833566260,2023-08-31,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Sari Director,2023-08-24,2023-08-31,2000,Slight delay but acceptable quality
PO-2024-124,2023-08-23,PR-2024-378,SUP-012,PT Brataco,EXC-001,Croscarmellose Sodium,5000,KG,136452,682260000,11,75048600,757308600,2023-08-31,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Sari Director,2023-08-24,2023-08-31,5000,Quality check required retest
PO-2024-125,2023-08-23,PR-2024-381,SUP-009,PT Prima Pack Indonesia,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,861,8610000,11,947100,9557100,2023-08-29,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-24,2023-08-29,10000,Slight delay but acceptable quality
PO-2024-126,2023-08-23,PR-2024-385,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,5000,KG,15207,76035000,11,8363850,84398850,2023-09-02,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Rudi Manager,2023-08-24,2023-09-02,5000,Delivery 2 days late
PO-2024-127,2023-08-24,PR-2024-386,SUP-007,PT Multi Packaging Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),25000,Roll,130290,3257250000,11,358297500,3615547500,2023-09-13,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Sari Director,2023-08-25,2023-09-13,25000,Delivered on schedule
PO-2024-128,2023-08-24,PR-2024-389,SUP-007,PT Multi Packaging Indonesia,PKG-003,HDPE Bottle 100ml,30000,Unit,3067,92010000,11,10121100,102131100,2023-09-12,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-25,2023-09-12,30000,COA received
PO-2024-129,2023-08-25,PR-2024-392,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,25000,Unit,5061,126525000,11,13917750,140442750,2023-09-14,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-26,2023-09-14,25000,Delivered on schedule
PO-2024-130,2023-08-25,PR-2024-396,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,2000,KG,934632,1869264000,11,205619040,2074883040,2023-08-31,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Sari Director,2023-08-26,2023-08-31,2000,Slight delay but acceptable quality
PO-2024-131,2023-08-25,PR-2024-399,SUP-008,PT Global Pack Industries,PKG-003,HDPE Bottle 100ml,30000,Unit,2890,86700000,11,9537000,96237000,2023-09-04,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-26,2023-09-04,30000,Delivery 2 days late
PO-2024-132,2023-08-26,PR-2024-400,SUP-002,PT Indofarma Global Medika,RAW-005,Cetirizine HCl,10000,KG,3003986,30039860000,11,3304384600,33344244600,2023-09-02,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Sari Director,2023-08-27,2023-09-02,10000,Slight delay but acceptable quality
PO-2024-133,2023-08-26,PR-2024-404,SUP-001,PT Kimia Farma Trading & Distribution,RAW-003,Ascorbic Acid (Vitamin C),5000,KG,43938,219690000,11,24165900,243855900,2023-09-06,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Rudi Manager,2023-08-27,2023-09-06,5000,Quality check required retest
PO-2024-134,2023-08-26,PR-2024-408,SUP-011,PT Chemical Works Indonesia,EXC-001,Colloidal Silicon Dioxide,5000,KG,193230,966150000,11,106276500,1072426500,2023-09-05,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Sari Director,2023-08-27,2023-09-05,5000,Quality check required retest
PO-2024-135,2023-08-26,PR-2024-411,SUP-005,PT Phapros,RAW-010,Dexamethasone,3000,KG,343133,1029399000,11,113233890,1142632890,2023-09-15,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-08-27,2023-09-15,3000,Early delivery - good quality
PO-2024-136,2023-08-27,PR-2024-414,SUP-010,PT Pharma Excipient Supply,EXC-001,Croscarmellose Sodium,3000,KG,134601,403803000,11,44418330,448221330,2023-09-06,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Rudi Manager,2023-08-28,2023-09-06,3000,Delivery 2 days late
PO-2024-137,2023-08-27,PR-2024-415,SUP-003,PT Dexa Medica,RAW-007,Omeprazole,3000,KG,2021977,6065931000,11,667252410,6733183410,2023-09-05,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Sari Director,2023-08-28,2023-09-05,3000,Quality check required retest
PO-2024-138,2023-08-27,PR-2024-417,SUP-001,PT Kimia Farma Trading & Distribution,RAW-010,Dexamethasone,10000,KG,356847,3568470000,11,392531700,3961001700,2023-09-04,Warehouse B - Bandung,Net 60,Completed,Budi Procurement,Sari Director,2023-08-28,2023-09-04,10000,Quality check required retest
PO-2024-139,2023-08-27,PR-2024-418,SUP-001,PT Kimia Farma Trading & Distribution,RAW-003,Ascorbic Acid (Vitamin C),8000,KG,45872,366976000,11,40367360,407343360,2023-09-08,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Rudi Manager,2023-08-28,2023-09-08,8000,Delivery 2 days late
PO-2024-140,2023-08-27,PR-2024-419,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,25000,Unit,4875,121875000,11,13406250,135281250,2023-09-17,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-08-28,2023-09-17,25000,Quality check passed
PO-2024-141,2023-08-28,PR-2024-422,SUP-001,PT Kimia Farma Trading & Distribution,RAW-006,Metformin HCl,2000,KG,69987,139974000,11,15397140,155371140,2023-09-05,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Rudi Manager,2023-08-29,2023-09-05,1924,Delivery 2 days late
PO-2024-142,2023-08-28,PR-2024-424,SUP-011,PT Chemical Works Indonesia,EXC-001,Microcrystalline Cellulose (Avicel PH102),2000,KG,25923,51846000,11,5703060,57549060,2023-09-03,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-29,2023-09-03,2000,Quality check required retest
PO-2024-143,2023-08-29,PR-2024-425,SUP-006,PT Indo Packaging Solutions,PKG-008,Leaflet (Patient Information),10000,Unit,109,1090000,11,119900,1209900,2023-09-03,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Rudi Manager,2023-08-30,2023-09-03,10000,COA received
PO-2024-144,2023-08-29,PR-2024-429,SUP-012,PT Brataco,EXC-001,Talcum Powder,1000,KG,14670,14670000,11,1613700,16283700,2023-09-07,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-30,2023-09-07,1000,Delivery 2 days late
PO-2024-145,2023-08-30,PR-2024-431,SUP-005,PT Phapros,RAW-004,Ibuprofen,2000,KG,202100,404200000,11,44462000,448662000,2023-09-19,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Rudi Manager,2023-08-31,2023-09-19,2000,Early delivery - good quality
PO-2024-146,2023-08-30,PR-2024-433,SUP-004,PT Kalbe Farma,RAW-002,Paracetamol,8000,KG,87082,696656000,11,76632160,773288160,2023-09-19,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Sari Director,2023-08-31,2023-09-19,8000,Delivered on schedule
PO-2024-147,2023-08-30,PR-2024-434,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,15000,Unit,5015,75225000,11,8274750,83499750,2023-09-15,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Rudi Manager,2023-08-31,2023-09-15,15000,COA received
PO-2024-148,2023-08-30,PR-2024-436,SUP-012,PT Brataco,EXC-001,Povidone K30,2000,KG,64513,129026000,11,14192860,143218860,2023-09-04,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-08-31,2023-09-04,2000,Slight delay but acceptable quality
PO-2024-149,2023-08-31,PR-2024-439,SUP-003,PT Dexa Medica,RAW-009,Salbutamol Sulfate,5000,KG,887929,4439645000,11,488360950,4928005950,2023-09-08,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Sari Director,2023-09-01,2023-09-08,5000,Delivery 2 days late
PO-2024-150,2023-08-31,PR-2024-441,SUP-005,PT Phapros,RAW-010,Dexamethasone,10000,KG,349941,3499410000,11,384935100,3884345100,2023-09-24,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Sari Director,2023-09-01,2023-09-24,10000,Early delivery - good quality
PO-2024-151,2023-08-31,PR-2024-442,SUP-007,PT Multi Packaging Indonesia,PKG-005,Corrugated Carton Box (Master),15000,Unit,3358,50370000,11,5540700,55910700,2023-09-16,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-09-01,2023-09-16,15000,COA received
PO-2024-152,2023-08-31,PR-2024-443,SUP-003,PT Dexa Medica,RAW-008,Ciprofloxacin,5000,KG,461583,2307915000,11,253870650,2561785650,2023-09-07,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Sari Director,2023-09-01,2023-09-07,5000,Slight delay but acceptable quality
PO-2024-153,2023-09-01,PR-2024-444,SUP-002,PT Indofarma Global Medika,RAW-007,Omeprazole,5000,KG,1901451,9507255000,11,1045798050,10553053050,2023-09-07,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Sari Director,2023-09-02,2023-09-07,5000,Slight delay but acceptable quality
PO-2024-154,2023-09-01,PR-2024-446,SUP-003,PT Dexa Medica,RAW-002,Paracetamol,10000,KG,84935,849350000,11,93428500,942778500,2023-09-11,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Sari Director,2023-09-02,2023-09-11,10000,Slight delay but acceptable quality
PO-2024-155,2023-09-02,PR-2024-448,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),30000,Unit,104,3120000,11,343200,3463200,2023-09-12,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-09-03,2023-09-12,30000,Slight delay but acceptable quality
PO-2024-156,2023-09-03,PR-2024-450,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,3000,KG,141374,424122000,11,46653420,470775420,2023-09-09,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-09-04,2023-09-09,3000,Quality check required retest
PO-2024-157,2023-09-03,PR-2024-454,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,896,8960000,11,985600,9945600,2023-09-12,Warehouse B - Bandung,Net 30,Completed,Budi Procurement,Rudi Manager,2023-09-04,2023-09-12,10000,Delivered on schedule
PO-2024-158,2023-09-03,PR-2024-457,SUP-009,PT Prima Pack Indonesia,PKG-001,PVC/PVDC Blister Pack 10x10,10000,Unit,522,5220000,11,574200,5794200,2023-09-09,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-09-04,2023-09-09,10000,Delivery 2 days late
PO-2024-159,2023-09-04,PR-2024-459,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,2000,KG,60338,120676000,11,13274360,133950360,2023-09-09,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-09-05,2023-09-09,2000,Quality check required retest
PO-2024-160,2023-09-04,PR-2024-463,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,2000,KG,20294,40588000,11,4464680,45052680,2023-09-13,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-09-05,2023-09-13,2000,Slight delay but acceptable quality
PO-2024-161,2023-09-05,PR-2024-467,SUP-004,PT Kalbe Farma,RAW-003,Ascorbic Acid (Vitamin C),5000,KG,43330,216650000,11,23831500,240481500,2023-09-28,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-09-06,2023-09-28,5000,Quality check passed
PO-2024-162,2023-09-05,PR-2024-471,SUP-012,PT Brataco,EXC-001,Microcrystalline Cellulose (Avicel PH102),5000,KG,24255,121275000,11,13340250,134615250,2023-09-13,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-09-06,2023-09-13,5000,Quality check required retest
PO-2024-163,2023-09-06,PR-2024-475,SUP-005,PT Phapros,RAW-008,Ciprofloxacin,3000,KG,447137,1341411000,11,147555210,1488966210,2023-09-27,Warehouse B - Bandung,Net 30,Completed,Budi Procurement,Sari Director,2023-09-07,2023-09-27,3000,Perfect delivery with documentation
PO-2024-164,2023-09-07,PR-2024-478,SUP-005,PT Phapros,RAW-007,Omeprazole,10000,KG,1965942,19659420000,11,2162536200,21821956200,2023-10-01,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-09-08,2023-10-01,10000,On-time delivery with COA
PO-2024-165,2023-09-07,PR-2024-482,SUP-001,PT Kimia Farma Trading & Distribution,RAW-005,Cetirizine HCl,3000,KG,2956589,8869767000,11,975674370,9845441370,2023-09-20,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Sari Director,2023-09-08,2023-09-20,2957,Slight delay but acceptable quality
PO-2024-166,2023-09-07,PR-2024-485,SUP-011,PT Chemical Works Indonesia,EXC-001,Magnesium Stearate,2000,KG,33669,67338000,11,7407180,74745180,2023-09-13,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-09-08,2023-09-13,2000,Quality check required retest
PO-2024-167,2023-09-08,PR-2024-488,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,20000,Unit,5156,103120000,11,11343200,114463200,2023-09-24,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Rudi Manager,2023-09-09,2023-09-24,20000,Quality check passed
PO-2024-168,2023-09-09,PR-2024-492,SUP-010,PT Pharma Excipient Supply,EXC-001,Magnesium Stearate,3000,KG,34593,103779000,11,11415690,115194690,2023-09-17,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Rudi Manager,2023-09-10,2023-09-17,3000,Slight delay but acceptable quality
PO-2024-169,2023-09-09,PR-2024-494,SUP-011,PT Chemical Works Indonesia,EXC-001,Starch (Pregelatinized),1000,KG,17713,17713000,11,1948430,19661430,2023-09-17,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-09-10,2023-09-17,1000,Quality check required retest
PO-2024-170,2023-09-09,PR-2024-498,SUP-009,PT Prima Pack Indonesia,PKG-003,HDPE Bottle 100ml,10000,Unit,2919,29190000,11,3210900,32400900,2023-09-17,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-09-10,2023-09-17,10000,Slight delay but acceptable quality
PO-2024-171,2023-09-10,PR-2024-499,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,2000,KG,20480,40960000,11,4505600,45465600,2023-09-20,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-09-11,2023-09-20,2000,Quality check required retest
PO-2024-172,2023-09-10,PR-2024-500,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),25000,Unit,107,2675000,11,294250,2969250,2023-09-22,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-09-11,2023-09-22,25000,Quality check required retest
PO-2024-173,2023-09-11,PR-2024-504,SUP-007,PT Multi Packaging Indonesia,PKG-008,Leaflet (Patient Information),25000,Unit,113,2825000,11,310750,3135750,2023-09-29,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-09-12,2023-09-29,25000,Delivered on schedule
PO-2024-174,2023-09-12,PR-2024-505,SUP-011,PT Chemical Works Indonesia,EXC-001,Starch (Pregelatinized),3000,KG,18146,54438000,11,5988180,60426180,2023-09-20,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-09-13,2023-09-20,3000,Quality check required retest
PO-2024-175,2023-09-12,PR-2024-509,SUP-005,PT Phapros,RAW-004,Ibuprofen,10000,KG,211912,2119120000,11,233103200,2352223200,2023-10-01,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Sari Director,2023-09-13,2023-10-01,10000,Perfect delivery with documentation
PO-2024-176,2023-09-12,PR-2024-511,SUP-010,PT Pharma Excipient Supply,EXC-001,Starch (Pregelatinized),3000,KG,18545,55635000,11,6119850,61754850,2023-09-18,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Rudi Manager,2023-09-13,2023-09-18,3000,Slight delay but acceptable quality
PO-2024-177,2023-09-13,PR-2024-514,SUP-010,PT Pharma Excipient Supply,EXC-001,Magnesium Stearate,3000,KG,33821,101463000,11,11160930,112623930,2023-09-21,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Rudi Manager,2023-09-14,2023-09-21,3000,Slight delay but acceptable quality
PO-2024-178,2023-09-13,PR-2024-515,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,25000,Unit,5018,125450000,11,13799500,139249500,2023-10-02,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Rudi Manager,2023-09-14,2023-10-02,24316,COA received
PO-2024-179,2023-09-14,PR-2024-518,SUP-005,PT Phapros,RAW-007,Omeprazole,2000,KG,1938708,3877416000,11,426515760,4303931760,2023-10-08,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-09-15,2023-10-08,2000,Early delivery - good quality
